,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),outlier
7,6.9,24.85,-0.6168000000000002,63.86120000000007,107.1518086004608,99.38,264.318,6.0,4.0,7.0,42.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['TPSA', 'AMW', 'NumLipinskiHBA', 'NumAtoms']"
48,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'NumAtoms']"
52,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['SMR', 'LabuteASA', 'TPSA', 'AMW', 'NumLipinskiHBA', 'NumRotatableBonds', 'NumAtoms']"
53,6.9,25.0,1.2308,68.05630000000002,114.72243913791151,112.93,281.264,7.0,3.0,7.0,35.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['TPSA', 'AMW', 'NumLipinskiHBA']"
57,6.9,25.0,1.2308,68.05630000000002,114.72243913791151,112.93,281.264,7.0,3.0,7.0,35.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['TPSA', 'AMW', 'NumLipinskiHBA']"
60,7.2,25.0,0.6480000000000004,59.874400000000016,103.3703396713134,114.39999999999998,286.286,6.0,0.0,2.0,24.0,-2.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['TPSA', 'AMW', 'NumLipinskiHBA', 'Formal Charge']"
62,6.9,24.85,-1.1347000000000005,60.837200000000045,104.0192501201452,99.38,256.254,6.0,4.0,3.0,34.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['SlogP', 'TPSA', 'NumLipinskiHBA']"
64,6.9,25.0,0.5239999999999998,57.05130000000002,92.71748757956762,86.63,223.228,5.0,3.0,4.0,29.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['TPSA', 'NumLipinskiHBA']"
67,6.9,25.0,0.5239999999999998,57.05130000000002,92.71748757956762,86.63,223.228,5.0,3.0,4.0,29.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,"['TPSA', 'NumLipinskiHBA']"
