,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
43,6.9,25.0,-0.32250000000000023,37.5888,66.03800427951236,60.36,157.189,3.0,1.0,2.0,24.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.87
44,6.9,25.0,1.0725999999999996,50.84770000000003,83.75878478571174,64.63,203.238,5.0,1.0,2.0,31.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.77
45,6.9,25.0,1.7656,32.63899999999998,50.084594660723724,17.07,112.17200000000001,1.0,0.0,0.0,20.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.7
46,6.9,25.0,1.5196,28.091999999999985,43.71965254632713,17.07,98.145,1.0,0.0,0.0,17.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.5
47,6.9,25.0,0.927,53.126200000000026,89.80222586042498,74.27,231.293,4.0,0.0,2.0,30.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.35
49,6.9,25.0,1.2511999999999996,47.13510000000004,68.23106227409612,27.64,150.245,1.0,3.0,4.0,27.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.27
50,6.9,25.0,0.7591999999999998,44.38700000000003,71.84692742932317,40.13,163.196,2.0,0.0,4.0,23.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.06
51,6.9,25.0,0.9301,44.48100000000003,71.84692742932317,40.13,163.196,2.0,0.0,3.0,23.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.03
52,6.9,25.0,1.5888,41.13109999999999,58.63373652561853,27.64,130.255,1.0,3.0,6.0,29.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.0
53,6.9,25.0,0.9301,44.48100000000003,71.84692742932317,40.13,163.196,2.0,0.0,3.0,23.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.94
55,6.9,25.0,-0.35050000000000026,43.83870000000002,77.07453119400428,78.46000000000002,188.20299999999997,5.0,1.0,2.0,27.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.8
56,6.9,25.0,0.9301,44.48100000000003,71.84692742932317,40.13,163.196,2.0,0.0,3.0,23.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.72
57,6.9,25.0,-0.35050000000000026,43.83870000000002,77.07453119400428,78.46000000000002,188.20299999999997,5.0,1.0,2.0,27.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.64
58,6.9,25.0,0.07469999999999999,41.43480000000002,70.27621906712257,60.36,165.168,3.0,1.0,3.0,21.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.61
59,6.9,25.0,1.1970999999999992,38.92510000000001,57.6279053720893,27.64,128.239,1.0,3.0,1.0,27.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.46
60,6.9,25.0,1.1970999999999992,38.92510000000001,57.6279053720893,27.64,128.239,1.0,3.0,1.0,27.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.36
61,6.9,25.0,0.7066999999999999,33.765999999999984,55.884659566448974,40.13,129.179,2.0,0.0,5.0,22.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.2
62,6.9,25.0,-1.3780999999999992,45.25050000000002,81.8687649462003,98.69,204.202,6.0,2.0,3.0,28.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.19
63,6.9,25.0,-1.3780999999999992,45.25050000000002,81.8687649462003,98.69,204.202,6.0,2.0,3.0,28.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-14.01
64,7.2,25.0,0.6480000000000004,59.874400000000016,103.3703396713134,114.39999999999998,286.286,6.0,0.0,2.0,24.0,-2.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.94
65,6.9,25.0,1.1904,34.974000000000004,57.341634420607974,26.3,181.02900000000002,2.0,0.0,2.0,17.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.9
66,6.9,25.0,0.2822000000000001,30.481599999999986,49.146597950675385,40.46,116.15999999999998,2.0,2.0,0.0,20.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.9
67,6.9,25.0,1.1904,34.974000000000004,57.341634420607974,26.3,181.02900000000002,2.0,0.0,2.0,17.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.8
68,6.9,25.0,1.8221,53.90400000000004,84.59674938000066,27.69,196.24599999999998,3.0,0.0,6.0,30.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.7
69,6.9,25.0,1.6019999999999999,45.83800000000003,72.11243088256792,21.76,164.20399999999995,2.0,0.0,4.0,24.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.52
70,6.9,25.0,1.6019999999999999,45.83800000000003,72.11243088256792,21.76,164.20399999999995,2.0,0.0,4.0,24.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.5
71,6.9,25.0,1.2495999999999994,47.11310000000002,68.23106227409612,27.64,150.245,1.0,3.0,3.0,27.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.31
72,6.9,25.0,-0.14180000000000015,44.95200000000003,82.242890932131,66.43,197.21,4.0,0.0,1.0,27.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.22
73,6.9,25.0,-0.14180000000000015,44.95200000000003,82.242890932131,66.43,197.21,4.0,0.0,1.0,27.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-13.18
75,6.9,25.0,0.9213,24.47479999999999,37.98742208408277,20.23,86.134,1.0,1.0,0.0,16.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.95
76,6.9,25.0,0.8404999999999995,46.19100000000002,89.45707886760876,49.36,233.165,3.0,0.0,3.0,24.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.8
77,7.2,25.0,-0.4478999999999995,67.83760000000001,124.99897568135404,171.59999999999997,365.34200000000016,9.0,0.0,3.0,27.0,-3.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.69
78,6.9,25.0,-0.33729999999999993,49.63670000000002,86.67185694248188,78.46,208.193,5.0,1.0,4.0,25.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.53
79,6.9,25.0,-0.8107000000000004,54.42250000000002,92.71748757956762,89.46000000000002,222.22,5.0,2.0,4.0,28.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.52
80,6.9,25.0,0.05119999999999991,54.23170000000002,93.03679905687851,78.46000000000002,222.22,5.0,1.0,4.0,28.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.4
81,6.9,25.0,0.05119999999999991,54.23170000000002,93.03679905687851,78.46000000000002,222.22,5.0,1.0,4.0,28.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.37
82,6.9,25.0,1.0097,30.04379999999999,46.495858728856746,20.23,153.019,1.0,1.0,2.0,15.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.29
83,6.9,25.0,0.8404999999999995,46.19100000000002,89.45707886760876,49.36,233.165,3.0,0.0,3.0,24.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.27
84,6.9,25.0,1.0097,30.04379999999999,46.495858728856746,20.23,153.019,1.0,1.0,2.0,15.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.25
85,6.9,25.0,0.5239999999999998,57.05130000000002,92.71748757956762,86.63,223.228,5.0,3.0,4.0,29.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.07
86,6.9,24.85,0.5563999999999998,49.19060000000004,77.5931843109823,49.69,182.21900000000005,3.0,2.0,5.0,27.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-12.03
87,6.9,25.0,0.5239999999999998,57.05130000000002,92.71748757956762,86.63,223.228,5.0,3.0,4.0,29.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.97
88,6.9,25.0,-0.8107000000000004,54.42250000000002,92.71748757956762,89.46000000000002,222.22,5.0,2.0,4.0,28.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.97
89,6.9,25.0,0.4538,53.100600000000036,88.06584050135659,58.92,210.229,4.0,2.0,3.0,29.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.81
90,6.9,25.0,1.5574,31.205799999999986,45.3581953520086,20.23,102.17699999999998,1.0,1.0,3.0,21.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.8
93,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.78
94,6.9,25.0,0.4538,53.100600000000036,88.06584050135659,58.92,210.229,4.0,2.0,3.0,29.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.76
95,6.9,25.0,0.05119999999999991,54.23170000000002,93.03679905687851,78.46000000000002,222.22,5.0,1.0,4.0,28.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.63
97,6.9,25.0,0.35851999999999995,35.5095,59.117043200529956,40.13,135.142,2.0,0.0,1.0,17.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.63
98,6.9,24.85,0.8610999999999995,42.518100000000025,61.866120159699506,27.64,136.218,1.0,3.0,3.0,24.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.61
100,6.9,25.0,-0.44576000000000016,90.77900000000004,159.86968060431468,132.86,384.34000000000015,8.0,0.0,7.0,44.0,-2.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.54
101,6.9,25.0,0.07469999999999999,41.434800000000024,70.27621906712257,60.36,165.16799999999995,3.0,1.0,3.0,21.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.47
102,6.9,25.0,3.3824,13.568000000000005,34.355936634923424,0.0,144.96200000000005,0.0,0.0,0.0,7.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.47
104,6.9,25.0,1.6638999999999995,111.79780000000004,183.37997772301316,162.26000000000005,444.44000000000017,10.0,5.0,11.0,56.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.34
105,6.9,24.85,0.3017000000000001,48.71320000000003,73.23526751288745,36.84,166.24400000000003,2.0,3.0,3.0,28.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.33
106,6.9,25.0,-0.44576000000000016,90.77900000000004,159.86968060431468,132.86,384.34000000000015,8.0,0.0,7.0,44.0,-2.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.3
107,6.9,25.0,0.9301,44.48100000000003,71.84692742932317,40.13,163.196,2.0,0.0,3.0,23.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.29
108,6.9,25.0,0.9301,44.48100000000003,71.84692742932317,40.13,163.196,2.0,0.0,3.0,23.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.26
109,6.9,24.85,0.4795999999999998,44.453100000000006,66.97966538920639,36.87000000000001,152.217,2.0,3.0,3.0,25.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.23
110,6.9,24.85,0.77942,42.63810000000001,61.8661201596995,27.64,136.21800000000002,1.0,3.0,2.0,24.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.11
111,6.9,25.0,-0.6601000000000004,41.159800000000025,70.27621906712257,60.36,165.16799999999995,3.0,1.0,3.0,21.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.1
112,6.9,25.0,0.2822000000000001,30.481599999999986,49.146597950675385,40.46,116.15999999999998,2.0,2.0,0.0,20.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.04
113,6.9,25.0,-0.08270000000000023,55.197400000000044,88.75236017757494,69.92,212.245,4.0,3.0,6.0,31.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.01
114,6.9,25.0,0.2822000000000001,30.481599999999986,49.146597950675385,40.46,116.15999999999998,2.0,2.0,0.0,20.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-11.01
115,6.9,25.0,-0.08270000000000023,55.197400000000044,88.75236017757494,69.92,212.245,4.0,3.0,6.0,31.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-10.95
116,6.9,25.0,-0.6601000000000004,41.159800000000025,70.27621906712257,60.36,165.16799999999995,3.0,1.0,3.0,21.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-10.95
117,6.9,25.0,0.1765999999999997,39.56590000000002,60.29541179749889,47.87000000000001,138.18999999999997,2.0,4.0,2.0,22.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-10.93
118,6.9,25.0,-0.5163000000000004,52.75770000000002,87.92325382737161,69.22999999999999,206.221,4.0,1.0,4.0,27.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-10.86
119,6.9,24.85,0.3017000000000001,48.71320000000003,73.23526751288745,36.84,166.24400000000003,2.0,3.0,3.0,28.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-10.84
120,6.9,24.85,0.4795999999999998,44.453100000000006,66.97966538920637,36.87000000000001,152.21699999999996,2.0,3.0,3.0,25.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-10.74
121,6.9,24.85,0.1851999999999998,46.11790000000002,71.77389914140241,57.10000000000001,168.21599999999998,3.0,4.0,3.0,26.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-10.71
