,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds,outlier
18,7.4,24.85,1.341199999999999,38.99510000000001,57.6279053720893,27.64,128.239,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
19,7.4,24.85,-1.8664999999999978,37.06480000000001,56.207716997107475,42.91,130.215,3.0,4.0,2.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
20,7.4,24.85,0.4168999999999994,32.12409999999999,50.25713210416345,27.64,112.196,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
21,7.4,24.85,1.4431,45.90510000000001,69.35195844735328,27.64,154.27700000000002,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
22,7.4,24.85,1.1970999999999992,43.79110000000003,68.34612729382404,27.64,152.26099999999997,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
23,7.4,24.85,0.31199999999999894,45.25090000000003,73.14036104602006,47.87000000000001,168.26,2.0,4.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
24,7.4,24.85,3.8965400000000026,88.66570000000006,128.27609529258223,32.34,288.43500000000006,3.0,1.0,5.0,-0.9581999999999876,275.3371999999997,485.42764630411585,361.56000000000006,1193.1059999999989,32.0,4.0,12.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
25,7.4,24.85,1.7674,68.92490000000004,102.36078961703994,55.56,236.315,4.0,2.0,6.0,-0.9581999999999876,275.3371999999997,485.42764630411585,361.56000000000006,1193.1059999999989,32.0,4.0,12.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
26,7.4,24.85,3.416900000000002,103.35220000000008,154.99942580288825,63.69000000000001,359.47,6.0,1.0,11.0,-0.9581999999999876,275.3371999999997,485.42764630411585,361.56000000000006,1193.1059999999989,32.0,4.0,12.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
27,7.4,24.85,1.4455,46.81090000000002,71.14118748925014,52.32,165.19199999999995,3.0,2.0,2.0,-0.9581999999999876,275.3371999999997,485.42764630411585,361.56000000000006,1193.1059999999989,32.0,4.0,12.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
