,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds,outlier
28,7.4,24.85,0.8085999999999995,34.330099999999995,51.26296325769269,27.64,114.21200000000002,1.0,3.0,1.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
29,7.4,24.85,0.9510999999999992,34.3781,51.26296325769269,27.64,114.212,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
30,7.4,24.85,1.341199999999999,38.99510000000001,57.6279053720893,27.64,128.239,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
31,7.4,24.85,-1.8664999999999978,37.06480000000001,56.207716997107475,42.91,130.215,3.0,4.0,2.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
32,7.4,24.85,0.4168999999999994,32.12409999999999,50.25713210416345,27.64,112.196,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
33,7.4,24.85,1.4431,45.90510000000001,69.35195844735328,27.64,154.27700000000002,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
34,7.4,24.85,1.1970999999999992,43.79110000000003,68.34612729382404,27.64,152.26099999999997,1.0,3.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
35,7.4,24.85,0.31199999999999894,45.25090000000003,73.14036104602006,47.87000000000001,168.26,2.0,4.0,0.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
36,9.2,24.85,1.3848,33.4013,52.75210108613336,37.3,122.12299999999996,2.0,1.0,1.0,20.251599999999982,436.5724000000014,720.2283402399863,446.08,1729.536,32.0,8.0,16.0,"['HOST_SlogP', 'HOST_SMR', 'HOST_LabuteASA', 'HOST_AMW', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
37,9.2,24.85,1.6932200000000002,38.13830000000001,59.117043200529956,37.3,136.14999999999998,2.0,1.0,1.0,20.251599999999982,436.5724000000014,720.2283402399863,446.08,1729.536,32.0,8.0,16.0,"['HOST_SlogP', 'HOST_SMR', 'HOST_LabuteASA', 'HOST_AMW', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
